Bug ID	Module	Severity	Assigned To	ETA	Status
BUG-001	Dashboard still contains fallback mock totals/transactions when APIs return empty	Medium	Adesh/Dev Team	2026-07-03	Open
BUG-002	Transactions route/API not active despite placeholder file	Medium	Adesh/Dev Team	2026-07-04	Open
BUG-003	Reports and settings are placeholders	Medium	Adesh/Dev Team	2026-07-06	Open
BUG-004	No automated unit/integration tests	High	Adesh/Dev Team	2026-07-15	Open
BUG-005	Hardcoded database credentials in backend config	High	Adesh/Dev Team	2026-07-10	Open
BUG-006	ProtectedRoute/auth middleware not consistently applied	High	Adesh/Dev Team	2026-07-10	Open
BUG-007	Staff salary/advance/document/report sections are visible but not fully wired to real backend data	Medium	Adesh/Dev Team	2026-07-05	Open
BUG-008	Root package/node_modules added outside frontend/backend; dependency ownership should be cleaned	Low	Adesh/Dev Team	2026-07-05	Open
BUG-009	Some UI strings show encoding artifacts for rupee/icons in terminal view	Low	Adesh/Dev Team	2026-07-05	Open
BUG-010	Staff form field persistence mismatch resolved for staff_id/email/department	Medium	Adesh/Dev Team	2026-07-01	Closed
