Date	Developer	Project	Sprint	Page	Module	Submodule	Task ID	Task Description	Frontend Status	Backend Status	Database Status	API Status	Testing Status	Priority	Estimated Hours	Actual Hours	Completion %	Current Status	Blockers	Start Date	Target Date	Remarks
2026-06-23	Adesh/Dev Team	SmartKhata	Sprint 1	Project Management	Planning	Baseline	SK-PM-001	Created project management sheets and Excel workbook	Done	Done	No Change	No Change	Manual baseline	High	4	4	100	Done	None	2026-06-23	2026-06-23	Baseline exported to Excel
2026-06-24	Adesh/Dev Team	SmartKhata	Sprint 1	Inventory	Collections Rename	Inventory module	SK-002	Replaced Collections page with Inventory page and backward-compatible /collections route	Done	Done	Done	Done	Build Passed	High	7	7	90	QA	Manual database testing pending	2026-06-24	2026-06-25	Collections.jsx/CSS removed; Inventory.jsx/CSS added
2026-06-25	Adesh/Dev Team	SmartKhata	Sprint 1	Customers	Customer Ledger	Customer detail and product entry	SK-005	Enhanced customer page with summary cards, selected customer panel, product entry and unified history	Done	Done	Done	Done	Build Passed	High	8	8	85	QA	Needs manual CRUD/history verification with MySQL	2026-06-24	2026-06-25	Customer history includes payments, product entries and shopping orders
2026-06-30	Adesh/Dev Team	SmartKhata	Sprint 2	Orders	Standalone Orders	Order management screen	SK-W2-002	Built full Orders page with summary cards, order search/filter, status updates, product list and refresh	Done	Done	No Change	Integrated	Build Passed	High	8	7	85	QA	Manual DB order status testing pending	2026-06-30	2026-06-30	Orders page no longer placeholder
2026-07-01	Adesh/Dev Team	SmartKhata	Sprint 2	Staff	Staff Management	Staff CRUD and staff finance APIs	SK-W2-006	Added Staff module with frontend page, sidebar route, backend staff CRUD, summary, attendance, salary payment and advance APIs	Done	Done	Done	Done	Build Passed	High	10	9	78	In Progress	Attendance/salary/advance frontend screens pending	2026-07-01	2026-07-01	Core staff CRUD UI done; advanced staff APIs exist
2026-07-01	Adesh/Dev Team	SmartKhata	Sprint 2	Supplier/Credit	Architecture Split	Supplier purchases and customer credits	SK-W2-007	Split old credit module into supplier-purchases and customer-credits APIs/services; updated supplier route to /supplier	Done	Done	Done	Done	Build Passed	High	7	6	82	QA	Manual old route regression pending	2026-07-01	2026-07-01	Old Credit.jsx/Credit.css and creditRoutes removed
2026-07-01	Adesh/Dev Team	SmartKhata	Sprint 2	Staff	HRMS Expansion	Staff profile, attendance and staff dashboard	SK-W2-009	Expanded Staff page with HRMS navigation, staff filters/sort, persisted staff_id/email/department, attendance entry/history, salary/advance/leave/performance/document/report sections	Done	Done	Done	Integrated	Build Passed	High	9	8	88	QA	Salary/advance/document/report sections still partly static	2026-07-01	2026-07-01	Resolved prior Staff field persistence mismatch
2026-07-01	Adesh/Dev Team	SmartKhata	Sprint 2	Shopping	Product Catalog	Product-only shopping screen	SK-W2-010	Separated Shopping product catalog from Orders flow and disabled native invalid styling with noValidate	Done	No Change	No Change	No Change	Build Passed	Medium	2	2	90	QA	Orders now handled by dedicated Orders page	2026-07-01	2026-07-01	Cleaner module ownership
2026-07-01	Adesh/Dev Team	SmartKhata	Sprint 2	All	Build Verification	Frontend production build	SK-QA-002	Ran frontend production build after latest Staff and Shopping updates	Done	No Change	No Change	No Change	Passed	High	1	1	100	Done	None	2026-07-01	2026-07-01	vite build passed with 117 modules
2026-07-02	Adesh/Dev Team	SmartKhata	Sprint 2	Transactions	Unified Ledger	Transactions page/API	SK-W2-003	Implement active Transactions route/page and backend unified transaction API	Pending	Pending	Pending	Pending	Pending	High	8	0	0	To Do	Route not active in sidebar/app	2026-07-02	2026-07-03	Still placeholder file only
2026-07-03	Adesh/Dev Team	SmartKhata	Sprint 2	Reports	Reports	Business reports	SK-W2-004	Build Reports page with filters and export-ready summaries	Pending	Pending	Pending	Pending	Pending	High	8	0	0	To Do	Depends report data contract	2026-07-03	2026-07-05	Still placeholder
